COUNTY_NAME,2002,2007,2012,2017,2022
MONTROSE,1309.0,134.0,123.0,442.0,423.0
OTERO,0.0,145.0,34.0,0.0,97.0
OURAY,0.0,0.0,17.0,15.0,31.0
PARK,17.0,0.0,56.0,20.0,52.0
PITKIN,0.0,0.0,0.0,0.0,21.0
PROWERS,645.0,56.0,46.0,0.0,41.0
PUEBLO,106.0,118.0,86.0,9169.0,126.0
RIO BLANCO,0.0,0.0,15.0,0.0,94.0
RIO GRANDE,41.0,42.0,43.0,312.0,224.0
ROUTT,46.0,92.0,139.0,24.0,200.0
SAGUACHE,900.0,0.0,19.0,0.0,28.0
SAN MIGUEL,0.0,140.0,0.0,0.0,17.0
SEDGWICK,22.0,0.0,38.0,0.0,64.0
SUMMIT,0.0,0.0,0.0,0.0,7.0
TELLER,16.0,8.0,0.0,0.0,0.0
WELD,6893.0,1918.0,2023.0,2459.0,961.0
FAIRFIELD,40.0,37.0,87.0,73.0,0.0
HARTFORD,118.0,0.0,341.0,0.0,184.0
LITCHFIELD,292.0,587.0,286.0,261.0,187.0
MIDDLESEX,21.0,132.0,0.0,40.0,0.0
NEW HAVEN,0.0,0.0,283.0,442.0,86.0
NEW LONDON,0.0,273.0,439.0,351.0,157.0
TOLLAND,0.0,138.0,365.0,0.0,0.0
WINDHAM,0.0,117.0,225.0,389.0,0.0
KENT,0.0,130.0,611.0,819.0,128.0
NEW CASTLE,0.0,0.0,31.0,145.0,70.0
SUSSEX,7918.0,0.0,350.0,16.0,57.0
ALACHUA,1439.0,650.0,217.0,414.0,816.0
BAKER,20.0,119.0,0.0,0.0,0.0
BAY,19.0,0.0,0.0,76.0,20.0
BRADFORD,9.0,0.0,0.0,0.0,120.0
BREVARD,0.0,120.0,0.0,0.0,0.0
BROWARD,20.0,8.0,35.0,66.0,29.0
CHARLOTTE,13.0,46.0,20.0,0.0,0.0
CITRUS,0.0,0.0,0.0,108.0,0.0
COLLIER,0.0,0.0,33.0,15.0,37.0
DE SOTO,33.0,105.0,67.0,0.0,0.0
DIXIE,689.0,0.0,0.0,73.0,0.0
DUVAL,388.0,108.0,0.0,0.0,0.0
FLAGLER,0.0,22.0,0.0,8.0,0.0
GADSDEN,0.0,97.0,128.0,0.0,32.0
GILCHRIST,0.0,212.0,0.0,0.0,154.0
GLADES,48.0,97.0,60.0,0.0,36.0
HAMILTON,3000.0,22.0,23.0,23.0,17.0
HARDEE,0.0,0.0,45.0,49.0,69.0
HENDRY,54.0,0.0,0.0,0.0,24.0
HERNANDO,0.0,0.0,0.0,210.0,0.0
HIGHLANDS,1904.0,84.0,0.0,0.0,0.0
HILLSBOROUGH,1724.0,110.0,210.0,199.0,0.0
HOLMES,0.0,127.0,0.0,0.0,91.0
INDIAN RIVER,0.0,0.0,0.0,91.0,0.0
LEON,395.0,63.0,0.0,0.0,0.0
LEVY,1078.0,129.0,0.0,0.0,127.0
LIBERTY,0.0,0.0,0.0,9.0,47.0
MANATEE,0.0,0.0,0.0,255.0,0.0
MARTIN,180.0,0.0,0.0,0.0,72.0
MIAMI-DADE,144.0,135.0,49.0,0.0,128.0
NASSAU,250.0,0.0,0.0,0.0,0.0
OKALOOSA,321.0,0.0,122.0,162.0,0.0
OKEECHOBEE,82.0,136.0,283.0,91.0,80.0
OSCEOLA,0.0,45.0,25.0,0.0,34.0
PALM BEACH,953.0,83.0,0.0,0.0,183.0
PASCO,925.0,0.0,0.0,0.0,362.0
PUTNAM,325.0,253.0,0.0,0.0,0.0
SANTA ROSA,529.0,0.0,18.0,100.0,0.0
SARASOTA,0.0,44.0,79.0,23.0,0.0
SEMINOLE,237.0,80.0,144.0,0.0,91.0
ST. JOHNS,48.0,0.0,0.0,20.0,20.0
ST. LUCIE,160.0,0.0,13.0,0.0,184.0
SUWANNEE,478.0,246.0,192.0,0.0,0.0
TAYLOR,95.0,41.0,45.0,0.0,104.0
VOLUSIA,0.0,368.0,424.0,0.0,388.0
WAKULLA,454.0,0.0,0.0,32.0,77.0
WALTON,0.0,171.0,0.0,102.0,163.0
APPLING,1935.0,0.0,36.0,157.0,144.0
ATKINSON,0.0,0.0,24.0,0.0,0.0
BACON,0.0,0.0,13.0,86.0,0.0
BANKS,47.0,51.0,74.0,61.0,39.0
BARROW,45.0,71.0,0.0,34.0,30.0
BARTOW,24.0,48.0,63.0,60.0,78.0
BEN HILL,0.0,0.0,48.0,80.0,0.0
BERRIEN,0.0,0.0,26.0,0.0,22.0
BLECKLEY,0.0,27.0,0.0,0.0,12.0
BRANTLEY,125.0,107.0,20.0,0.0,0.0
BROOKS,3442.0,20.0,15.0,114.0,36.0
BRYAN,116.0,0.0,60.0,66.0,0.0
BULLOCH,496.0,13.0,85.0,40.0,38.0
BURKE,186.0,0.0,461.0,228.0,0.0
BUTTS,0.0,5.0,0.0,0.0,0.0
CAMDEN,320.0,0.0,175.0,0.0,18.0
CANDLER,41.0,8.0,0.0,14.0,44.0
CATOOSA,32.0,0.0,241.0,12.0,0.0
CHATHAM,25.0,0.0,0.0,0.0,0.0
CHATTOOGA,0.0,48.0,0.0,0.0,96.0
COBB,0.0,0.0,12.0,0.0,0.0
COLQUITT,234.0,0.0,22.0,0.0,0.0
COOK,0.0,8.0,0.0,0.0,0.0
COWETA,0.0,10.0,22.0,56.0,43.0
DADE,25.0,74.0,35.0,39.0,30.0
DAWSON,0.0,17.0,5.0,71.0,35.0
DECATUR,26.0,67.0,0.0,0.0,0.0
DODGE,2828.0,0.0,79.0,88.0,0.0
DOOLY,207.0,0.0,0.0,0.0,0.0
DOUGHERTY,388.0,0.0,0.0,0.0,64.0
EARLY,1395.0,0.0,0.0,0.0,0.0
EFFINGHAM,0.0,0.0,26.0,72.0,113.0
EMANUEL,0.0,111.0,13.0,0.0,64.0
EVANS,204.0,0.0,0.0,0.0,0.0
FANNIN,0.0,0.0,0.0,18.0,36.0
FLOYD,58.0,51.0,55.0,72.0,89.0
FORSYTH,0.0,0.0,0.0,0.0,66.0
GILMER,3.0,71.0,0.0,0.0,51.0
GLASCOCK,0.0,0.0,0.0,24.0,0.0
GLYNN,0.0,18.0,8.0,0.0,40.0
GORDON,17.0,19.0,101.0,105.0,0.0
GRADY,2928.0,398.0,34.0,0.0,0.0
