COUNTY_NAME,2002,2007,2012,2017,2022
VENTURA,34.0,32.0,40.0,16.0,20.0
YOLO,2046.0,13.0,13.0,11.0,0.0
YUBA,6239.0,3258.0,2738.0,4.0,0.0
ADAMS,1902.0,1910.0,27.0,1818.0,20.0
ALAMOSA,0.0,0.0,20.0,16.0,0.0
ARAPAHOE,16.0,104.0,40.0,66.0,40.0
ARCHULETA,0.0,0.0,14.0,0.0,19.0
BACA,38.0,0.0,6.0,14.0,0.0
BENT,0.0,0.0,0.0,16.0,0.0
BOULDER,13.0,0.0,59.0,34.0,45.0
CHAFFEE,0.0,0.0,29.0,0.0,0.0
CHEYENNE,0.0,0.0,0.0,24.0,0.0
CONEJOS,10.0,398.0,240.0,186.0,151.0
COSTILLA,0.0,43.0,72.0,20.0,0.0
CROWLEY,172.0,21.0,0.0,14.0,0.0
CUSTER,16.0,0.0,0.0,10.0,8.0
DELTA,2993.0,1557.0,1580.0,29.0,2268.0
DOUGLAS,36.0,0.0,24.0,28.0,52.0
EL PASO,1053.0,577.0,234.0,58.0,140.0
ELBERT,224.0,7.0,21.0,82.0,178.0
FREMONT,2293.0,2497.0,4446.0,2029.0,32.0
GARFIELD,24.0,47.0,84.0,16.0,24.0
GRAND,0.0,0.0,0.0,16.0,0.0
GUNNISON,0.0,0.0,36.0,12.0,0.0
HUERFANO,13.0,0.0,6.0,3.0,0.0
KIOWA,14.0,16.0,0.0,20.0,0.0
KIT CARSON,750.0,0.0,12.0,0.0,0.0
LA PLATA,55.0,182.0,92.0,112.0,53.0
LARIMER,28873.0,23198.0,16101.0,19863.0,23138.0
LAS ANIMAS,20.0,23.0,22.0,8.0,44.0
LINCOLN,45.0,33.0,24.0,38.0,14.0
MESA,1243.0,27.0,39.0,537.0,66.0
MOFFAT,38.0,51.0,25.0,36.0,10.0
MONTEZUMA,48.0,36.0,52.0,66.0,146.0
MONTROSE,4428.0,725.0,3.0,12.0,0.0
OTERO,72.0,82.0,58.0,20.0,36.0
PARK,12.0,43.0,48.0,10.0,0.0
PITKIN,26.0,18.0,6.0,0.0,0.0
PROWERS,66.0,23.0,12.0,0.0,0.0
PUEBLO,582.0,0.0,10.0,547.0,9.0
RIO BLANCO,0.0,28.0,0.0,10.0,12.0
RIO GRANDE,9.0,0.0,123.0,56.0,8.0
ROUTT,10.0,14.0,10.0,46.0,14.0
SAGUACHE,34.0,27.0,38.0,20.0,947.0
SAN MIGUEL,0.0,0.0,0.0,0.0,18.0
TELLER,26.0,0.0,26.0,54.0,0.0
WELD,100574.0,139566.0,145461.0,214198.0,264467.0
FAIRFIELD,159.0,126.0,44.0,87.0,0.0
HARTFORD,1932.0,1716.0,976.0,791.0,1200.0
LITCHFIELD,6873.0,6222.0,4876.0,5599.0,5721.0
MIDDLESEX,995.0,244.0,277.0,0.0,0.0
NEW HAVEN,916.0,781.0,937.0,241.0,425.0
NEW LONDON,8179.0,7086.0,6368.0,10740.0,11328.0
TOLLAND,7125.0,6711.0,5643.0,5945.0,5821.0
WINDHAM,11606.0,9829.0,7976.0,9329.0,5620.0
KENT,9013.0,5911.0,3129.0,4014.0,991.0
NEW CASTLE,1826.0,728.0,626.0,515.0,489.0
SUSSEX,4484.0,4261.0,1800.0,1872.0,1076.0
ALACHUA,3080.0,2700.0,1693.0,1682.0,206.0
BAKER,0.0,0.0,30.0,0.0,0.0
BAY,0.0,8.0,0.0,0.0,0.0
BRADFORD,3.0,11.0,0.0,54.0,0.0
BREVARD,0.0,0.0,23.0,0.0,0.0
BROWARD,18.0,14.0,0.0,0.0,20.0
CHARLOTTE,20.0,0.0,50.0,24.0,14.0
CITRUS,0.0,9.0,16.0,24.0,0.0
COLLIER,66.0,12.0,18.0,0.0,0.0
COLUMBIA,903.0,6.0,35.0,56.0,66.0
DE SOTO,99.0,7166.0,6590.0,8434.0,1210.0
DIXIE,1406.0,0.0,0.0,0.0,0.0
DUVAL,5885.0,0.0,0.0,0.0,0.0
GADSDEN,92.0,0.0,0.0,34.0,42.0
GILCHRIST,21963.0,27842.0,11651.0,23756.0,38120.0
GLADES,17.0,9.0,0.0,47.0,6.0
HARDEE,17514.0,11815.0,13985.0,35516.0,6258.0
HENDRY,62.0,0.0,0.0,23.0,0.0
HERNANDO,2323.0,1414.0,10.0,60.0,40.0
HIGHLANDS,7959.0,14516.0,14967.0,12228.0,4.0
HILLSBOROUGH,8816.0,1313.0,616.0,802.0,130.0
HOLMES,2083.0,776.0,1232.0,1066.0,494.0
INDIAN RIVER,0.0,0.0,0.0,22.0,0.0
LAFAYETTE,17894.0,28172.0,22171.0,16380.0,6780.0
LEE,0.0,14.0,96.0,62.0,14.0
LEVY,24178.0,24.0,14.0,17.0,26.0
MANATEE,9684.0,3559.0,8324.0,18048.0,0.0
MARTIN,1230.0,0.0,0.0,50.0,51.0
MIAMI-DADE,132.0,78.0,38.0,68.0,174.0
NASSAU,6.0,9.0,10.0,254.0,50.0
OKALOOSA,26.0,22.0,24.0,84.0,20.0
OKEECHOBEE,62597.0,59340.0,61630.0,64543.0,62563.0
ORANGE,50.0,0.0,0.0,19.0,22.0
OSCEOLA,14.0,14.0,0.0,0.0,20.0
PALM BEACH,32.0,0.0,23.0,59.0,30.0
PASCO,7711.0,2011.0,1103.0,1078.0,28.0
POLK,888.0,26.0,398.0,233.0,55.0
PUTNAM,18.0,0.0,9.0,953.0,10.0
SANTA ROSA,38.0,0.0,6.0,36.0,22.0
SARASOTA,18.0,7200.0,0.0,16.0,0.0
SEMINOLE,52.0,0.0,36.0,8.0,28.0
ST. JOHNS,12.0,0.0,0.0,48.0,0.0
ST. LUCIE,3.0,0.0,0.0,0.0,12.0
SUWANNEE,17155.0,13886.0,21561.0,14896.0,8583.0
UNION,713.0,0.0,0.0,14.0,26.0
VOLUSIA,19.0,0.0,66.0,1448.0,84.0
WAKULLA,8.0,0.0,16.0,0.0,0.0
WALTON,143.0,12.0,0.0,18.0,40.0
APPLING,17.0,6030.0,3122.0,5160.0,26.0
ATKINSON,0.0,24.0,0.0,0.0,0.0
BACON,1385.0,1848.0,1543.0,0.0,0.0
BANKS,150.0,310.0,726.0,93.0,141.0
BARROW,33.0,38.0,0.0,6.0,0.0
BARTOW,0.0,68.0,0.0,8.0,6.0
BEN HILL,3.0,0.0,0.0,0.0,0.0
BERRIEN,9.0,0.0,0.0,0.0,83.0
BIBB,515.0,0.0,810.0,0.0,0.0
BLECKLEY,32.0,0.0,0.0,0.0,0.0
BRANTLEY,26.0,12.0,0.0,0.0,21.0
BROOKS,3733.0,3578.0,6867.0,6507.0,14014.0
BULLOCH,92.0,90.0,0.0,86.0,32.0
BURKE,3390.0,3564.0,10921.0,21239.0,17626.0
CAMDEN,0.0,0.0,0.0,6.0,38.0
CANDLER,9.0,500.0,0.0,0.0,0.0
CATOOSA,866.0,32.0,0.0,0.0,29.0
CHARLTON,0.0,0.0,0.0,6.0,0.0
CHATTOOGA,0.0,0.0,0.0,88.0,0.0
CLINCH,30.0,0.0,0.0,0.0,0.0
COLQUITT,0.0,13.0,0.0,0.0,0.0
COOK,0.0,0.0,0.0,32.0,0.0
COWETA,21.0,0.0,0.0,604.0,0.0
CRISP,0.0,46.0,0.0,0.0,0.0
DAWSON,0.0,10.0,28.0,42.0,60.0
DECATUR,0.0,0.0,2602.0,0.0,0.0
DODGE,45.0,24.0,46.0,12.0,0.0
DOUGHERTY,8.0,0.0,0.0,0.0,0.0
EFFINGHAM,0.0,0.0,0.0,28.0,20.0
EMANUEL,67.0,0.0,0.0,0.0,0.0
FANNIN,9.0,0.0,0.0,24.0,10.0
FLOYD,13.0,84.0,0.0,111.0,109.0
FORSYTH,48.0,42.0,10.0,0.0,20.0
GILMER,1707.0,704.0,0.0,180.0,0.0
GLASCOCK,0.0,0.0,0.0,0.0,6.0
GLYNN,12.0,0.0,0.0,6.0,0.0
GORDON,199.0,0.0,0.0,20.0,37.0
GRADY,23.0,1083.0,0.0,1807.0,0.0
GWINNETT,0.0,16.0,0.0,0.0,0.0
HABERSHAM,8.0,14.0,0.0,61.0,161.0
HALL,2534.0,409.0,1523.0,198.0,20.0
HARALSON,0.0,26.0,0.0,82.0,198.0
HARRIS,0.0,0.0,0.0,0.0,58.0
HART,1824.0,1171.0,1000.0,521.0,0.0
HEARD,24.0,0.0,90.0,190.0,52.0
